i	distance	psi	newpsi	ipsi	newipsi	likratio	priorratio	hratio	accept
1	0.2	0.57	0.6	19	20	0.0360274410816582	-0.0512932943875506	-0.0152658533058923	FALSE
2	0.2	0.57	0.54	19	18	-0.0361730224574621	0.0540672212702756	0.0178941988128135	FALSE
3	0.166666666666667	0.57	0.54	19	18	-0.0341730224574622	0.0540672212702756	0.0198941988128133	FALSE
4	0.0714285714285714	0.57	0.54	19	18	-0.0284587367431766	0.0540672212702756	0.025608484527099	FALSE
5	0.2	0.57	0.54	19	18	-0.0361730224574621	0.0540672212702756	0.0178941988128135	FALSE
6	0.2	0.57	0.54	19	18	-0.0361730224574621	0.0540672212702756	0.0178941988128135	FALSE
7	0.2	0.57	0.6	19	20	0.0360274410816582	-0.0512932943875506	-0.0152658533058923	FALSE
8	0.2	0.57	0.54	19	18	-0.0361730224574621	0.0540672212702756	0.0178941988128135	FALSE
9	0.2	0.57	0.6	19	20	0.0360274410816582	-0.0512932943875506	-0.0152658533058923	FALSE
10	0.2	0.57	0.6	19	20	0.0360274410816582	-0.0512932943875506	-0.0152658533058923	FALSE
11	0.2	0.57	0.54	19	18	-0.0361730224574621	0.0540672212702756	0.0178941988128135	FALSE
12	0.2	0.57	0.54	19	18	-0.0361730224574621	0.0540672212702756	0.0178941988128135	FALSE
13	0.142857142857143	0.57	0.6	19	20	0.0325988696530867	-0.0512932943875506	-0.0186944247344639	FALSE
14	0.2	0.57	0.54	19	18	-0.0361730224574621	0.0540672212702756	0.0178941988128135	FALSE
15	0.2	0.57	0.6	19	20	0.0360274410816582	-0.0512932943875506	-0.0152658533058923	FALSE
16	0.2	0.57	0.6	19	20	0.0360274410816582	-0.0512932943875506	-0.0152658533058923	FALSE
17	0.2	0.57	0.6	19	20	0.0360274410816582	-0.0512932943875506	-0.0152658533058923	FALSE
18	0.2	0.57	0.6	19	20	0.0360274410816582	-0.0512932943875506	-0.0152658533058923	FALSE
19	0.2	0.57	0.54	19	18	-0.0361730224574621	0.0540672212702756	0.0178941988128135	FALSE
20	0.0714285714285714	0.57	0.54	19	18	-0.0284587367431766	0.0540672212702756	0.025608484527099	FALSE
21	0.0714285714285714	0.57	0.54	19	18	-0.0284587367431766	0.0540672212702756	0.025608484527099	FALSE
22	0.0588235294117647	0.57	0.6	19	20	0.027556852846364	-0.0512932943875506	-0.0237364415411866	FALSE
23	0.0588235294117647	0.57	0.54	19	18	-0.0277024342221681	0.0540672212702756	0.0263647870481075	FALSE
24	0.0588235294117647	0.57	0.54	19	18	-0.0277024342221681	0.0540672212702756	0.0263647870481075	FALSE
25	0.0588235294117647	0.57	0.6	19	20	0.027556852846364	-0.0512932943875506	-0.0237364415411866	FALSE
26	0.125	0.57	0.54	19	18	-0.0316730224574623	0.0540672212702756	0.0223941988128133	FALSE
27	0.125	0.57	0.54	19	18	-0.0316730224574623	0.0540672212702756	0.0223941988128133	FALSE
28	0.125	0.57	0.6	19	20	0.0315274410816582	-0.0512932943875506	-0.0197658533058924	FALSE
29	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
30	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
31	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
32	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
33	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
34	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
35	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
36	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
37	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
38	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
39	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
40	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
41	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
42	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
43	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
44	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
45	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
46	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
47	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
48	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
49	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
50	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
51	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
52	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
53	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
54	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
55	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
56	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
57	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
58	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
59	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
60	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
61	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
62	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
63	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
64	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
65	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
66	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
67	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
68	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
69	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
70	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
71	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
72	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
73	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
74	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
75	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
76	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
77	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
78	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
79	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
80	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
81	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
82	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
83	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
84	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
85	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
86	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
87	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
88	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
89	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
90	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
91	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
92	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
93	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
94	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
95	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
96	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
97	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
98	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
99	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
100	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
101	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
102	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
103	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
104	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
105	0.5	0.57	0.6	19	20	0.0540274410816581	-0.0512932943875506	0.00273414669410756	FALSE
106	0.5	0.57	0.54	19	18	-0.0541730224574624	0.0540672212702756	-0.000105801187186783	FALSE
