i	treeindex	accept	nnodes	distance	loglik	post	loga	Q	ru
1	1	FALSE	1	0.2	-22668.5419345314	-22677.1903780762	-5.79617850444205	0.0725806451612903	-0.408666062258057
2	1	FALSE	1	0.2	-22668.5419345314	-22677.1903780762	-4.76377731566694	0.0725806451612903	-2.58177371132929
3	2	TRUE	1	0.166666666666667	-22667.8688762149	-22676.4983197598	0.286593208367431	1.5	-3.80290020995843
4	3	TRUE	2	0.0714285714285714	-22263.4615980657	-22281.6698117297	397.451565018354	0.0725806451612903	-0.726638474424029
5	4	TRUE	1	0.2	-22264.8501178677	-22273.4985614126	5.54819332884594	13.7777777777778	-1.10120081285214
6	4	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-5.50594522214245	0.0725806451612903	-1.48899211023242
7	4	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-6.59676032212095	0.0725806451612903	-0.0981700878896342
8	4	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-6.41550053328259	0.0725806451612903	-0.574291172794677
9	4	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-18.1560113756226	1.5	-2.22631268497785
10	4	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-6.89072785028051	0.0725806451612903	-0.093448992649532
11	4	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-18.1560113756226	1.5	-0.434963645714912
12	4	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-388.703135088201	1.5	-0.085948080013437
13	5	TRUE	2	0.142857142857143	-22257.9379952397	-22276.1869231895	-0.0653047886365496	0.0725806451612903	-0.319380787111819
14	6	TRUE	1	0.2	-22264.8501178677	-22273.4985614126	0.0653047886365496	13.7777777777778	-0.164467641142648
15	6	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-403.476688624416	1.5	-0.225662759290919
16	6	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-5.20876713794436	0.0725806451612903	-0.414752859681671
17	6	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-12.1132549689158	1.5	-0.665629139489676
18	6	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-18.6262117870159	1.5	-0.372844983997505
19	6	FALSE	1	0.2	-22264.8501178677	-22273.4985614126	-6.97696394774843	0.0725806451612903	-0.0231760497516541
20	7	TRUE	2	0.0714285714285714	-22255.9284553318	-22274.1366689958	1.98494940505467	0.0725806451612903	-1.37079707499161
21	7	FALSE	2	0.0714285714285714	-22255.9284553318	-22274.1366689958	-1.98494940505467	13.7777777777778	-1.89581005078314
22	8	TRUE	3	0.0588235294117647	-21543.1288536219	-21571.4737638692	705.776420435791	0.0444444444444444	-1.11662662574896
23	8	FALSE	3	0.0588235294117647	-21543.1288536219	-21571.4737638692	-919.352388091713	1	-0.709742262459133
24	8	FALSE	3	0.0588235294117647	-21543.1288536219	-21571.4737638692	-705.776420435791	22.5	-1.42810784993636
25	8	FALSE	3	0.0588235294117647	-21543.1288536219	-21571.4737638692	-919.584274944154	1	-0.631556308060678
26	9	TRUE	2	0.125	-21544.9675045345	-21563.2062539128	5.15399464718631	22.5	-1.13539019659322
27	9	FALSE	2	0.125	-21544.9675045345	-21563.2062539128	-6.10178630507708	0.0444444444444444	-0.286399461439849
28	9	FALSE	2	0.125	-21544.9675045345	-21563.2062539128	-730.176813974275	13.7777777777778	-3.32017536878842
29	10	TRUE	1	0.5	-21545.4874314251	-21554.3068749699	6.27632195464261	13.7777777777778	-1.19408986729638
