snp1	snp2	prior
abc9	abc8	(1,1);
abc10	abc8	(1,1);
abc8	abc9	(1,1);
abc10	abc9	(1,1);
abc8	abc10	(1,1);
abc9	abc10	(1,1);
cyp3	cyp2	(2,2);
cyp4	cyp2	(2,2);
cyp5	cyp2	(2,2);
cyp6	cyp2	(2,2);
cyp7	cyp2	(2,2);
cyp8	cyp2	(2,2);
cyp9	cyp2	(2,2);
cyp10	cyp2	(2,2);
cyp11	cyp2	(2,2);
cyp12	cyp2	(2,2);
cyp13	cyp2	(2,2);
cyp14	cyp2	(2,2);
cyp2	cyp3	(2,2);
cyp4	cyp3	(2,2);
cyp5	cyp3	(2,2);
cyp6	cyp3	(2,2);
cyp7	cyp3	(2,2);
cyp8	cyp3	(2,2);
cyp9	cyp3	(2,2);
cyp10	cyp3	(2,2);
cyp11	cyp3	(2,2);
cyp12	cyp3	(2,2);
cyp13	cyp3	(2,2);
cyp14	cyp3	(2,2);
cyp2	cyp4	(2,2);
cyp3	cyp4	(2,2);
cyp5	cyp4	(2,2);
cyp6	cyp4	(2,2);
cyp7	cyp4	(2,2);
cyp8	cyp4	(2,2);
cyp9	cyp4	(2,2);
cyp10	cyp4	(2,2);
cyp11	cyp4	(2,2);
cyp12	cyp4	(2,2);
cyp13	cyp4	(2,2);
cyp14	cyp4	(2,2);
cyp2	cyp5	(2,2);
cyp3	cyp5	(2,2);
cyp4	cyp5	(2,2);
cyp6	cyp5	(2,2);
cyp7	cyp5	(2,2);
cyp8	cyp5	(2,2);
cyp9	cyp5	(2,2);
cyp10	cyp5	(2,2);
cyp11	cyp5	(2,2);
cyp12	cyp5	(2,2);
cyp13	cyp5	(2,2);
cyp14	cyp5	(2,2);
cyp2	cyp6	(2,2);
cyp3	cyp6	(2,2);
cyp4	cyp6	(2,2);
cyp5	cyp6	(2,2);
cyp7	cyp6	(2,2);
cyp8	cyp6	(2,2);
cyp9	cyp6	(2,2);
cyp10	cyp6	(2,2);
cyp11	cyp6	(2,2);
cyp12	cyp6	(2,2);
cyp13	cyp6	(2,2);
cyp14	cyp6	(2,2);
cyp2	cyp7	(2,2);
cyp3	cyp7	(2,2);
cyp4	cyp7	(2,2);
cyp5	cyp7	(2,2);
cyp6	cyp7	(2,2);
cyp8	cyp7	(2,2);
cyp9	cyp7	(2,2);
cyp10	cyp7	(2,2);
cyp11	cyp7	(2,2);
cyp12	cyp7	(2,2);
cyp13	cyp7	(2,2);
cyp14	cyp7	(2,2);
cyp2	cyp8	(2,2);
cyp3	cyp8	(2,2);
cyp4	cyp8	(2,2);
cyp5	cyp8	(2,2);
cyp6	cyp8	(2,2);
cyp7	cyp8	(2,2);
cyp9	cyp8	(2,2);
cyp10	cyp8	(2,2);
cyp11	cyp8	(2,2);
cyp12	cyp8	(2,2);
cyp13	cyp8	(2,2);
cyp14	cyp8	(2,2);
cyp2	cyp9	(2,2);
cyp3	cyp9	(2,2);
cyp4	cyp9	(2,2);
cyp5	cyp9	(2,2);
cyp6	cyp9	(2,2);
cyp7	cyp9	(2,2);
cyp8	cyp9	(2,2);
cyp10	cyp9	(2,2);
cyp11	cyp9	(2,2);
cyp12	cyp9	(2,2);
cyp13	cyp9	(2,2);
cyp14	cyp9	(2,2);
cyp2	cyp10	(2,2);
cyp3	cyp10	(2,2);
cyp4	cyp10	(2,2);
cyp5	cyp10	(2,2);
cyp6	cyp10	(2,2);
cyp7	cyp10	(2,2);
cyp8	cyp10	(2,2);
cyp9	cyp10	(2,2);
cyp11	cyp10	(2,2);
cyp12	cyp10	(2,2);
cyp13	cyp10	(2,2);
cyp14	cyp10	(2,2);
cyp2	cyp11	(2,2);
