var	point	lcl95	ucl95
abc1	1.0118	0.9476	1.080
abc2	1.0717	0.9985	1.150
abc3	1.0469	0.9418	1.164
abc4	1.0003	0.8984	1.114
abc5	0.9527	0.8551	1.061
abc6	0.9871	0.9249	1.053
abc7	1.0328	0.8847	1.206
abc8	1.0329	0.9723	1.097
abc9	1.8014	1.7104	1.897
abc10	0.8844	0.7362	1.062
cyp1	1.0260	0.7858	1.340
cyp2	1.0931	1.0333	1.156
cyp3	1.0639	0.9485	1.193
cyp4	1.2094	1.1283	1.296
cyp5	1.0765	0.9954	1.164
cyp6	0.9872	0.8891	1.096
cyp7	1.3668	1.2650	1.477
cyp8	1.0128	0.9068	1.131
cyp9	0.9900	0.9325	1.051
cyp10	0.9716	0.8707	1.084
cyp11	1.1264	0.9059	1.401
cyp12	0.9390	0.8445	1.044
cyp13	1.0275	0.9366	1.127
cyp14	1.0006	0.9129	1.097
sul1	0.9606	0.8125	1.136
sul2	1.0359	0.9233	1.162
sul3	1.4525	1.3593	1.552
sul4	1.0266	0.9738	1.082
sul5	0.9829	0.9186	1.052
ugt1	1.0165	0.9339	1.106
ugt2	0.9934	0.9355	1.055
ugt3	0.9845	0.9345	1.037
