datavar,gene,Tam_S,Tam_G,Endoxifen,Tam_4OH,Tam_NDM,Transporters,Phase2,Phase1,CYP2D6,SULT1E1,CYP3A,sult1e1_cyp3a
abc1,ABCB1,,,1,,,1,,,,,,
abc2,ABCB1,,,1,,,1,,,,,,
abc3,ABCB1,,,1,,,1,,,,,,
abc4,ABCB1,,,1,,,1,,,,,,
abc5,ABCC2,,,,,,1,,,,,,
abc6,ABCC2,,,,,,1,,,,,,
abc7,ABCC2,,,,,,1,,,,,,
abc8,ABCG2,,,1,,,1,,,,,,
abc9,ABCG2,,,1,,,1,,,,,,
abc10,ABCG2,,,1,,,1,,,,,,
cyp1,CYP1A1,,,,,1,,,1,,,,
cyp2,CYP2B6,,,,1,,,,1,,,,
cyp3,CYP2B6,,,,1,,,,1,,,,
cyp4,CYP2C19,,,1,1,1,,,1,,,,
cyp5,CYP2C19,,,1,1,1,,,1,,,,
cyp6,CYP2C9,,,,1,1,,,1,,,,
cyp7,CYP2C9,,,,1,1,,,1,,,,
cyp8,CYP2D6,,,1,1,1,,,1,1,,,
cyp9,CYP2D6,,,1,1,1,,,1,1,,,
cyp10,CYP2D6,,,1,1,1,,,1,1,,,
cyp11,CYP2D6,,,1,1,1,,,1,1,,,
cyp12,CYP2D6,,,1,1,1,,,1,1,,,
cyp13,CYP3A,,,1,1,1,,,1,,,1,1
cyp14,CYP3A5,,,1,1,1,,,1,,,1,1
sul1,SULT1A1,1,,,,,,1,,,,,
sul2,SULT1A1,1,,,,,,1,,,,,
sul3,SULT1A1,1,,,,,,1,,,,,
sul4,SULT1E1,1,,,,,,1,,,1,,1
sul5,SULT1E1,1,,,,,,1,,,1,,1
ugt1,UGT2B7,,1,,,,,1,,,,,
ugt2,UGT2B10,,1,,,,,1,,,,,
ugt3,UGT2B15,,1,,,,,1,,,,,
