treeindex	nnodes	beta	negloglik	logpost	distance
1	1	0.0855053541627855	22668.5419345314	-22677.1903780762	0.2
2	1	-0.0634254831600663	22667.8688762149	-22676.4983197598	0.166666666666667
3	2	0.78270734119924	22263.4615980657	-22281.6698117297	0.0714285714285714
4	1	0.725779857374388	22264.8501178677	-22273.4985614126	0.2
5	2	1.14672836706289	22257.9379952397	-22276.1869231895	0.142857142857143
6	1	0.725779857374388	22264.8501178677	-22273.4985614126	0.2
7	2	0.752788781978455	22255.9284553318	-22274.1366689958	0.0714285714285714
8	3	1.49628469212619	21543.1288536219	-21571.4737638692	0.0588235294117647
9	2	1.49470324628623	21544.9675045345	-21563.2062539128	0.125
10	1	1.45344466260314	21545.4874314251	-21554.3068749699	0.5
11	2	1.54783220652839	21530.1241562151	-21548.4816555935	0.333333333333333
12	3	1.73132936053114	21429.6556052574	-21458.0188042748	0.0909090909090909
13	4	1.74299668800671	21422.0455285266	-21460.8739297228	0.0555555555555556
14	3	1.73132936053114	21429.6556052574	-21458.0269860929	0.0909090909090909
15	4	1.74299668800671	21422.0455285266	-21460.8772630561	0.0555555555555556
16	3	1.73132936053114	21429.6556052574	-21458.0324406384	0.0909090909090909
17	4	1.70417118583508	21423.6083060642	-21462.4520405937	0.0666666666666667
18	3	1.73132936053114	21429.6556052574	-21458.0378951838	0.0909090909090909
19	4	1.77928035518353	21427.3144921067	-21466.1495599695	0.0555555555555556
20	4	1.73132310179369	21429.6287925501	-21468.4638604128	0.0555555555555556
21	3	1.73132936053114	21429.6556052574	-21458.0378951838	0.0909090909090909
22	4	1.70417118583508	21423.6083060642	-21462.4520405937	0.0666666666666667
23	3	1.73132936053114	21429.6556052574	-21458.0378951838	0.0909090909090909
24	4	1.74299668800671	21422.0455285266	-21460.8805963894	0.0555555555555556
25	3	1.73132936053114	21429.6556052574	-21458.0378951838	0.0909090909090909
26	4	1.74299668800671	21422.0455285266	-21460.8855963894	0.0555555555555556
27	3	1.73132936053114	21429.6556052574	-21458.046077002	0.0909090909090909
28	4	1.74299668800671	21422.0455285266	-21460.8855963894	0.0555555555555556
29	3	1.73132936053114	21429.6556052574	-21458.046077002	0.0909090909090909
30	4	1.74299668800671	21422.0455285266	-21460.8872630561	0.0555555555555556
31	3	1.73132936053114	21429.6556052574	-21458.0488042748	0.0909090909090909
32	4	1.70417118583508	21423.6083060642	-21462.4600405937	0.0666666666666667
33	3	1.73132936053114	21429.6556052574	-21458.0488042748	0.0909090909090909
